School Name,School Name [Public School] 2010-11,School ID - NCES Assigned [Public School] 2010-11,Agency Name [Public School] 2010-11,Agency ID - NCES Assigned [Public School] 2010-11,County Name [Public School] 2010-11,County Number [Public School] 2010-11,Location Address [Public School] 2010-11,Location City [Public School] 2010-11,Location State Abbr [Public School] 2010-11,Location ZIP [Public School] 2010-11,Location ZIP4 [Public School] 2010-11,Phone Number [Public School] 2010-11,School Type [Public School] 2010-11,Agency Type [District] 2010-11,Operational Status [Public School] 2010-11,Charter School [Public School] 2010-11,Latitude [Public School] 2010-11,Longitude [Public School] 2010-11,State School ID [Public School] 2010-11,State Agency ID [Public School] 2010-11
"HARMONY TOWNSHIP SCHOOL, NJ",HARMONY TOWNSHIP SCHOOL,340681000000,HARMONY TOWNSHIP,3406810,WARREN COUNTY,34041,2551 BELVIDERE RD,PHILLIPSBURG,NJ,8865,2155,9088591001,1-Regular school,1-Local school district,1-Currently operational,2-No,40.748363,-75.136944,30,412040
"HAROLD D FAYETTE SCHOOL, NY",HAROLD D FAYETTE SCHOOL,362112000000,NORTH MERRICK UNION FREE SCHOOL DISTRICT,3621120,NASSAU COUNTY,36059,1057 MERRICK AVE,NORTH MERRICK,NY,11566,1046,5164893090,1-Regular school,1-Local school district,1-Currently operational,2-No,40.694914,-73.564905,280229000000,280229000000
"HAROLD O BRUMSTED ELEMENTARY SCHOOL, NY",HAROLD O BRUMSTED ELEMENTARY SCHOOL,361455000000,HOLLAND CENTRAL SCHOOL DISTRICT,3614550,ERIE COUNTY,36029,173 CANADA ST,HOLLAND,NY,14080,9645,7165378255,1-Regular school,1-Local school district,1-Currently operational,2-No,42.646328,-78.542117,141701000000,141701000000
"HAROLD T WILEY SCHOOL, NY",HAROLD T WILEY SCHOOL,363012000000,WATERTOWN CITY SCHOOL DISTRICT,3630120,JEFFERSON COUNTY,36045,1351 WASHINGTON ST,WATERTOWN,NY,13601,4592,3157853780,1-Regular school,1-Local school district,1-Currently operational,2-No,43.956909,-75.913977,222000000000,222000000000
"HARP HEALTH& RELATED PROF ACAD, NJ",HARP HEALTH& RELATED PROF ACAD,341269000000,PATERSON,3412690,PASSAIC COUNTY,34031,175 MAIN ST,PATERSON,NJ,7505,,9733210560,1-Regular school,1-Local school district,3-New school,2-No,40.928329,-74.168595,4,314010
"HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL, NY",HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL,361371000000,HARPURSVILLE CENTRAL SCHOOL DISTRICT,3613710,BROOME COUNTY,36007,54 MAIN ST,HARPURSVILLE,NY,13787,147,6076938105,1-Regular school,1-Local school district,1-Currently operational,2-No,42.181794,-75.622517,30501040003,30501040000
"HARRIET BEECHER STOWE SCHOOL, CT",HARRIET BEECHER STOWE SCHOOL,90147000246,ENFIELD SCHOOL DISTRICT,901470,HARTFORD COUNTY,9003,34 POST OFICE RD,ENFIELD,CT,6082,5626,8602536580,1-Regular school,1-Local school district,1-Currently operational,2-No,41.964865,-72.572027,12,49
"HARRIET ROSS TUBMAN ACADEMY, NY",HARRIET ROSS TUBMAN ACADEMY,360585000000,BUFFALO CITY SCHOOL DISTRICT,3605850,ERIE COUNTY,36029,212 STANTON ST,BUFFALO,NY,14212,1194,7168163780,1-Regular school,1-Local school district,1-Currently operational,2-No,42.889227,-78.846042,140600000000,140600000000
"HARRIET TUBMAN, NJ",HARRIET TUBMAN,341134000000,NEWARK,3411340,ESSEX COUNTY,34013,504 SOUTH TENTH ST,NEWARK,NJ,7103,1802,9737336934,1-Regular school,1-Local school district,1-Currently operational,2-No,40.734834,-74.202674,455,133570
"HARRIET TUBMAN CHARTER SCHOOL, NY",HARRIET TUBMAN CHARTER SCHOOL,360005000000,HARRIET TUBMAN CHARTER SCHOOL,3600048,BRONX COUNTY,36005,3565 3RD AVE,BRONX,NY,10456,3403,7185379912,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,40.832071,-73.905432,320901000000,320901000000
"HARRINGTON PARK, NJ",HARRINGTON PARK,340684000000,HARRINGTON PARK,3406840,BERGEN COUNTY,34003,191 HARRIOT AVE,HARRINGTON PARK,NJ,7640,1401,2017685700,1-Regular school,1-Local school district,1-Currently operational,2-No,40.985631,-73.982972,50,32050
"HARRIS HILL ELEMENTARY SCHOOL, NY",HARRIS HILL ELEMENTARY SCHOOL,360759000000,CLARENCE CENTRAL SCHOOL DISTRICT,3607590,ERIE COUNTY,36029,4260 SOUTH HARRIS HILL RD,WILLIAMSVILLE,NY,14221,7436,7164079175,1-Regular school,1-Local school district,1-Currently operational,2-No,42.9634,-78.6773,140801000000,140801000000
"HARRIS HILL ELEMENTARY SCHOOL, NY",HARRIS HILL ELEMENTARY SCHOOL,362271000000,PENFIELD CENTRAL SCHOOL DISTRICT,3622710,MONROE COUNTY,36055,2126 PENFIELD RD,PENFIELD,NY,14526,1736,5852496600,1-Regular school,1-Local school district,1-Currently operational,2-No,43.130863,-77.448822,261201000000,261201000000
"HARRISON, NJ",HARRISON,340882000000,LIVINGSTON TOWNSHIP,3408820,ESSEX COUNTY,34013,148 NORTH LIVINGSTON AVE,LIVINGSTON,NJ,7039,2121,9735358000,1-Regular school,1-Local school district,1-Currently operational,2-No,40.804648,-74.314654,90,132730
"HARRISON, NJ",HARRISON,341428000000,ROSELLE BOROUGH,3414280,UNION COUNTY,34039,310 HARRISON AVE,ROSELLE,NJ,7203,1437,9082982052,1-Regular school,1-Local school district,1-Currently operational,2-No,40.658808,-74.251413,20,394540
"HARRISON AVENUE ELEMENTARY SCHOOL, NY",HARRISON AVENUE ELEMENTARY SCHOOL,362724000000,SOUTH GLENS FALLS CENTRAL SCHOOL DISTRICT,3627240,SARATOGA COUNTY,36091,76 HARRISON AVE,SOUTH GLENS FALLS,NY,12803,4997,5187939048,1-Regular school,1-Local school district,1-Currently operational,2-No,43.296253,-73.621339,521401000000,521401000000
"HARRISON AVENUE ELEMENTARY SCHOOL, NY",HARRISON AVENUE ELEMENTARY SCHOOL,361374000000,HARRISON CENTRAL SCHOOL DISTRICT,3613740,WESTCHESTER COUNTY,36119,480 HARRISON AVE,HARRISON,NY,10528,2100,9146303192,1-Regular school,1-Local school district,1-Currently operational,2-No,40.978717,-73.7135,660501000000,660501000000
"HARRISON HIGH, NJ",HARRISON HIGH,340687000000,HARRISON,3406870,HUDSON COUNTY,34017,ONE NORTH FIFTH ST,HARRISON,NJ,7029,1405,2014825050,1-Regular school,1-Local school district,1-Currently operational,2-No,40.746857,-74.154126,50,172060
"HARRISON HIGH SCHOOL, NY",HARRISON HIGH SCHOOL,361374000000,HARRISON CENTRAL SCHOOL DISTRICT,3613740,WESTCHESTER COUNTY,36119,255 UNION AVE,HARRISON,NY,10528,1610,9146303094,1-Regular school,1-Local school district,1-Currently operational,2-No,40.98063,-73.739931,660501000000,660501000000
"HARRISON TOWNSHIP, NJ",HARRISON TOWNSHIP,340690000000,HARRISON TOWNSHIP,3406900,GLOUCESTER COUNTY,34015,120 NORTH MAIN ST,MULLICA HILL,NJ,8062,,8564782016,1-Regular school,1-Local school district,1-Currently operational,2-No,39.744989,-75.22204,50,152070
"HARRISVILLE ELEMENTARY SCHOOL, NY",HARRISVILLE ELEMENTARY SCHOOL,361377000000,HARRISVILLE CENTRAL SCHOOL DISTRICT,3613770,LEWIS COUNTY,36049,14371 PIRATE LN,HARRISVILLE,NY,13648,200,3155432707,1-Regular school,1-Local school district,1-Currently operational,2-No,44.160434,-75.321668,230301000000,230301000000
"HARRISVILLE JUNIOR-SENIOR HIGH SCHOOL, NY",HARRISVILLE JUNIOR-SENIOR HIGH SCHOOL,361377000000,HARRISVILLE CENTRAL SCHOOL DISTRICT,3613770,LEWIS COUNTY,36049,14371 PIRATE LN,HARRISVILLE,NY,13648,200,3155432920,1-Regular school,1-Local school district,1-Currently operational,2-No,44.160434,-75.321668,230301000000,230301000000
"HARRY B. FLOOD MIDDLE SCHOOL, CT",HARRY B. FLOOD MIDDLE SCHOOL,90444000888,STRATFORD SCHOOL DISTRICT,904440,FAIRFIELD COUNTY,9001,490 CHAPEL ST,STRATFORD,CT,6614,1690,2033854280,1-Regular school,1-Local school district,1-Currently operational,2-No,41.237536,-73.119925,53,138
"HARRY E ELDEN ELEMENTARY SCHOOL, NY",HARRY E ELDEN ELEMENTARY SCHOOL,360387000000,BALDWINSVILLE CENTRAL SCHOOL DISTRICT,3603870,ONONDAGA COUNTY,36067,29 EAST ONEIDA ST,BALDWINSVILLE,NY,13027,2482,3156386118,1-Regular school,1-Local school district,1-Currently operational,2-No,43.162469,-76.330329,420901000000,420901000000
"HARRY F ABATE ELEMENTARY SCHOOL, NY",HARRY F ABATE ELEMENTARY SCHOOL,362082000000,NIAGARA FALLS CITY SCHOOL DISTRICT,3620820,NIAGARA COUNTY,36063,1625 LOCKPORT ST,NIAGARA FALLS,NY,14305,2697,7162787960,1-Regular school,1-Local school district,1-Currently operational,2-No,43.103917,-79.050202,400800000000,400800000000
"HARRY HOAG SCHOOL, NY",HARRY HOAG SCHOOL,361137000000,FORT PLAIN CENTRAL SCHOOL DISTRICT,3611370,MONTGOMERY COUNTY,36057,25 HIGH ST,FORT PLAIN,NY,13339,1218,5189934000,1-Regular school,1-Local school district,1-Currently operational,2-No,42.932063,-74.634078,270701000000,270701000000
"HARRY L BAIN, NJ",HARRY L BAIN,341758000000,WEST NEW YORK,3417580,HUDSON COUNTY,34017,6200 BROADWAY,WEST NEW YORK,NJ,7093,3008,2015534035,1-Regular school,1-Local school district,1-Currently operational,2-No,40.788994,-74.008954,100,175670
"HARRY L EDSON SCHOOL, NY",HARRY L EDSON SCHOOL,361629000000,KINGSTON CITY SCHOOL DISTRICT,3616290,ULSTER COUNTY,36111,116 MERILINA AVE,KINGSTON,NY,12401,4226,8453386990,1-Regular school,1-Local school district,1-Currently operational,2-No,41.931751,-74.033677,620600000000,620600000000
"HARRY M FISHER ELEMENTARY SCHOOL, NY",HARRY M FISHER ELEMENTARY SCHOOL,361959000000,MOHAWK CENTRAL SCHOOL DISTRICT,3619590,HERKIMER COUNTY,36043,10 FISHER AVE,MOHAWK,NY,13407,1598,3158664851,1-Regular school,1-Local school district,1-Currently operational,2-No,43.004204,-75.00608,210502000000,210502000000
"HARRY M. BAILEY MIDDLE SCHOOL, CT",HARRY M. BAILEY MIDDLE SCHOOL,90495001036,WEST HAVEN SCHOOL DISTRICT,904950,NEW HAVEN COUNTY,9009,106 MORGAN LN,WEST HAVEN,CT,6516,6299,2039374380,1-Regular school,1-Local school district,1-Currently operational,2-No,41.254393,-72.977803,51,156
"HARRY S TRUMAN, NJ",HARRY S TRUMAN,341464000000,SAYREVILLE,3414640,MIDDLESEX COUNTY,34023,ONE TAFT PLACE,PARLIN,NJ,8859,1672,7325255215,1-Regular school,1-Local school district,1-Currently operational,2-No,40.473352,-74.306146,75,234660
"HARRY S TRUMAN HIGH SCHOOL, NY",HARRY S TRUMAN HIGH SCHOOL,360009000000,NEW YORK CITY GEOGRAPHIC DISTRICT #11,3600088,BRONX COUNTY,36005,750 BAYCHESTER AVE,BRONX,NY,10475,,7189045400,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.874531,-73.833759,321100000000,321100000000
"HARRY S. FISHER ELEMENTARY SCHOOL, CT",HARRY S. FISHER ELEMENTARY SCHOOL,90333001521,PLYMOUTH SCHOOL DISTRICT,903330,LITCHFIELD COUNTY,9005,79 NORTH MAIN ST,TERRYVILLE,CT,6786,,8603142770,1-Regular school,1-Local school district,1-Currently operational,2-No,41.682025,-73.006345,4,111
"HART SCHOOL, CT",HART SCHOOL,90432000167,STAMFORD SCHOOL DISTRICT,904320,FAIRFIELD COUNTY,9001,61 ADAMS AVE,STAMFORD,CT,6902,3018,2039775082,1-Regular school,1-Local school district,1-Currently operational,2-No,41.0577,-73.54782,22,135
"HARTFORD CENTRAL SCHOOL, NY",HARTFORD CENTRAL SCHOOL,361383000000,HARTFORD CENTRAL SCHOOL DISTRICT,3613830,WASHINGTON COUNTY,36115,4704 STATEROUTE 149,HARTFORD,NY,12838,79,5186325923,1-Regular school,1-Local school district,1-Currently operational,2-No,43.361601,-73.396658,641001000000,641001000000
"HARTFORD CORRECTIONAL CENTER, CT",HARTFORD CORRECTIONAL CENTER,90000300361,UNIFIED SCHOOL DISTRICT #1,900003,HARTFORD COUNTY,9003,177 WESTON ST,HARTFORD,CT,6120,1514,8602401855,4-Alternative/other school,5-State-operated institution,1-Currently operational,2-No,41.793521,-72.659842,6,336
"HARTFORD MAGNET MIDDLE SCHOOL, CT",HARTFORD MAGNET MIDDLE SCHOOL,90192001295,HARTFORD SCHOOL DISTRICT,901920,HARTFORD COUNTY,9003,53 VERNON ST,HARTFORD,CT,6106,,8607576200,1-Regular school,1-Local school district,1-Currently operational,2-No,41.751261,-72.686492,54,64
"HARTFORD SCHOOL, NJ",HARTFORD SCHOOL,341095000000,MOUNT LAUREL TOWNSHIP,3410950,BURLINGTON COUNTY,34005,397 HARTFORD RD,MOUNT LAUREL,NJ,8054,,8562315899,1-Regular school,1-Local school district,1-Currently operational,2-No,39.950763,-74.876289,47,53440
"HARTFORD TRANSITIONAL LEARNING ACADEMY (ELEMENTARY, CT",HARTFORD TRANSITIONAL LEARNING ACADEMY (ELEMENTARY,90192001380,HARTFORD SCHOOL DISTRICT,901920,HARTFORD COUNTY,9003,150 TOWER AVE,HARTFORD,CT,6120,,8606956020,2-Special education school,1-Local school district,1-Currently operational,2-No,41.797644,-72.670409,90,64
"HARTLAND SCHOOL, CT",HARTLAND SCHOOL,90195000386,HARTLAND SCHOOL DISTRICT,901950,HARTFORD COUNTY,9003,30 SOUTH RD BOX 559,EAST HARTLAND,CT,6027,9710,8606537207,1-Regular school,1-Local school district,1-Currently operational,2-No,41.996922,-72.907802,1,65
"HARTLY ELEMENTARY SCHOOL, DE",HARTLY ELEMENTARY SCHOOL,100019000000,CAPITAL SCHOOL DISTRICT,1000190,KENT COUNTY,10001,2617 ARTHURSVILLE RD,HARTLY,DE,19953,25,3026721670,1-Regular school,1-Local school district,1-Currently operational,2-No,39.165853,-75.716075,640,13
"HARTNETT ELEMENTARY SCHOOL, NY",HARTNETT ELEMENTARY SCHOOL,361464000000,HOMER CENTRAL SCHOOL DISTRICT,3614640,CORTLAND COUNTY,36023,ACADEMY ST,TRUXTON,NY,13158,6,6078426216,1-Regular school,1-Local school district,1-Currently operational,2-No,42.711794,-76.032823,110701000000,110701000000
"HARTS HILL SCHOOL, NY",HARTS HILL SCHOOL,363132000000,WHITESBORO CENTRAL SCHOOL DISTRICT,3631320,ONEIDA COUNTY,36065,8551 CLARK MILLS RD,WHITESBORO,NY,13492,2799,3152663432,1-Regular school,1-Local school district,1-Currently operational,2-No,43.10622,-75.321503,412902000000,412902000000
"HARTSHORN, NJ",HARTSHORN,341020000000,MILLBURN TOWNSHIP,3410200,ESSEX COUNTY,34013,400 HARTSHORN DR,SHORT HILLS,NJ,7078,1962,9733797550,1-Regular school,1-Local school district,1-Currently operational,2-No,40.732597,-74.341047,80,133190
"HARVEST PARK, CT",HARVEST PARK,90474001595,WALLINGFORD SCHOOL DISTRICT,904740,NEW HAVEN COUNTY,9009,415 CHURCH ST,WALLINGFORD,CT,6492,,2032946290,2-Special education school,1-Local school district,3-New school,2-No,41.491975,-72.824233,92,148
"HARVEY AUSTIN SCHOOL #97, NY",HARVEY AUSTIN SCHOOL #97,360585000000,BUFFALO CITY SCHOOL DISTRICT,3605850,ERIE COUNTY,36029,1405 SYCAMORE ST,BUFFALO,NY,14211,,7168164460,1-Regular school,1-Local school district,1-Currently operational,2-No,42.903428,-78.820741,140600000000,140600000000
"HARVEY C FENNER ELEMENTARY SCHOOL, NY",HARVEY C FENNER ELEMENTARY SCHOOL,361092000000,FALCONER CENTRAL SCHOOL DISTRICT,3610920,CHAUTAUQUA COUNTY,36013,2016 EAST MAIN ST EXT,FALCONER,NY,14733,1395,7166656627,1-Regular school,1-Local school district,1-Currently operational,2-No,42.124159,-79.192294,61101040001,61101040000
"HARVEY MILK HIGH SCHOOL, NY",HARVEY MILK HIGH SCHOOL,360008000000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,3600077,NEW YORK COUNTY,36061,210 ASTOR PLACE,NEW YORK,NY,10003,,2124771555,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.730029,-73.992801,310200000000,310200000000
"HARWINTON CONSOLIDATED SCHOOL, CT",HARWINTON CONSOLIDATED SCHOOL,90352000728,REGIONAL SCHOOL DISTRICT 10,903520,LITCHFIELD COUNTY,9005,115 LITCHFIELD RD,HARWINTON,CT,6791,2204,8604859029,1-Regular school,1-Local school district,1-Currently operational,2-No,41.769569,-73.070633,3,210
"HASBROUCK HEIGHTS HIGH, NJ",HASBROUCK HEIGHTS HIGH,340693000000,HASBROUCK HEIGHTS,3406930,BERGEN COUNTY,34003,365 BLVD,HASBROUCK HEIGHTS,NJ,7604,1402,2012883971,1-Regular school,1-Local school district,1-Currently operational,2-No,40.866642,-74.073486,50,32080
"HASBROUCK HEIGHTS MIDDLE, NJ",HASBROUCK HEIGHTS MIDDLE,340693000000,HASBROUCK HEIGHTS,3406930,BERGEN COUNTY,34003,365 BLVD,HASBROUCK HEIGHTS,NJ,7604,1402,2013938190,1-Regular school,1-Local school district,1-Currently operational,2-No,40.866642,-74.073486,55,32080
"HASKELL, NJ",HASKELL,341695000000,WANAQUE,3416950,PASSAIC COUNTY,34031,973 RINGWOOD AVE,HASKELL,NJ,7420,,9738358200,1-Regular school,1-Local school district,1-Currently operational,2-No,41.034176,-74.295148,50,315440
"HASTINGS HIGH SCHOOL, NY",HASTINGS HIGH SCHOOL,361395000000,HASTINGS-ON-HUDSON UNION FREE SCHOOL DISTRICT,3613950,WESTCHESTER COUNTY,36119,1 MT HOPE BLVD,HASTINGS ON HUDSON,NY,10706,2394,9144786250,1-Regular school,1-Local school district,1-Currently operational,2-No,40.992835,-73.875686,660404000000,660404000000
"HASTINGS MALLORY ELEMENTARY SCHOOL, NY",HASTINGS MALLORY ELEMENTARY SCHOOL,360690000000,CENTRAL SQUARE CENTRAL SCHOOL DISTRICT,3606900,OSWEGO COUNTY,36075,93 BARKERS RD,CENTRAL SQUARE,NY,13036,3460,3156684252,1-Regular school,1-Local school district,1-Currently operational,2-No,43.318175,-76.126625,460801000000,460801000000
"HATCH MIDDLE, NJ",HATCH MIDDLE,340264000000,CAMDEN CITY,3402640,CAMDEN COUNTY,34007,PARK BLVD AND EUCLID AVE,CAMDEN,NJ,8103,3618,8569665122,1-Regular school,1-Local school district,1-Currently operational,2-No,39.930882,-75.094536,210,70680
"HATCHERY HILL, NJ",HATCHERY HILL,340630000000,HACKETTSTOWN,3406300,WARREN COUNTY,34041,FIFTH AVE,HACKETTSTOWN,NJ,7840,2497,9088528550,1-Regular school,1-Local school district,1-Currently operational,2-No,40.846786,-74.83864,70,411870
"HATIKVAH INTERNATIONAL CS, NJ",HATIKVAH INTERNATIONAL CS,340074000000,HATIKVAH INTERNATIONAL CS,3400735,MIDDLESEX COUNTY,34023,367 CRANBURY RD,EAST BRUNSWICK,NJ,8816,,7329392517,1-Regular school,7-Charter school agency,3-New school,1-Yes,40.436744,-74.395927,916,806041
"HATTON SCHOOL, CT",HATTON SCHOOL,90423000831,SOUTHINGTON SCHOOL DISTRICT,904230,HARTFORD COUNTY,9003,50 SPRING LAKE RD,SOUTHINGTON,CT,6489,4424,8606283377,1-Regular school,1-Local school district,1-Currently operational,2-No,41.601464,-72.854773,2,131
"HAUPPAUGE HIGH SCHOOL, NY",HAUPPAUGE HIGH SCHOOL,361398000000,HAUPPAUGE UNION FREE SCHOOL DISTRICT,3613980,SUFFOLK COUNTY,36103,500 LINCOLN BLVD,HAUPPAUGE,NY,11788,2902,6312653630,1-Regular school,1-Local school district,1-Currently operational,2-No,40.823124,-73.199774,580506000000,580506000000
"HAUPPAUGE MIDDLE SCHOOL, NY",HAUPPAUGE MIDDLE SCHOOL,361398000000,HAUPPAUGE UNION FREE SCHOOL DISTRICT,3613980,SUFFOLK COUNTY,36103,600 TOWN LINE RD,HAUPPAUGE,NY,11788,2837,6312653630,1-Regular school,1-Local school district,1-Currently operational,2-No,40.825752,-73.198106,580506000000,580506000000
"HAVERLING SENIOR HIGH SCHOOL, NY",HAVERLING SENIOR HIGH SCHOOL,360405000000,BATH CENTRAL SCHOOL DISTRICT,3604050,STEUBEN COUNTY,36101,25 ELLAS AVE,BATH,NY,14810,1107,6077764107,1-Regular school,1-Local school district,1-Currently operational,2-No,42.337651,-77.322445,570302000000,570302000000
"HAVERSTRAW MIDDLE SCHOOL, NY",HAVERSTRAW MIDDLE SCHOOL,361401000000,HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),3614010,ROCKLAND COUNTY,36087,16 GRANT ST,HAVERSTRAW,NY,10927,1105,8459423400,1-Regular school,1-Local school district,1-Currently operational,2-No,41.198422,-73.965834,500201000000,500201000000
"HAVILAND AVE, NJ",HAVILAND AVE,340105000000,AUDUBON,3401050,CAMDEN COUNTY,34007,240 SOUTH HAVILAND AVE,AUDUBON,NJ,8106,1126,8565464922,1-Regular school,1-Local school district,1-Currently operational,2-No,39.894548,-75.064268,40,70150
"HAVILAND MIDDLE SCHOOL, NY",HAVILAND MIDDLE SCHOOL,361518000000,HYDE PARK CENTRAL SCHOOL DISTRICT,3615180,DUTCHESS COUNTY,36027,23 HAVILAND RD,HYDE PARK,NY,12538,737,8452294030,1-Regular school,1-Local school district,1-Currently operational,2-No,41.771054,-73.906039,130801000000,130801000000
"HAWES, NJ",HAWES,341383000000,RIDGEWOOD VILLAGE,3413830,BERGEN COUNTY,34003,531 STEVENS AVE,RIDGEWOOD,NJ,7451,5436,2016702720,1-Regular school,1-Local school district,1-Currently operational,2-No,40.959852,-74.104991,85,34390
"HAWKINS PATH SCHOOL, NY",HAWKINS PATH SCHOOL,361920000000,MIDDLE COUNTRY CENTRAL SCHOOL DISTRICT,3619200,SUFFOLK COUNTY,36103,485 HAWKINS PATH,SELDEN,NY,11784,1700,6312858530,1-Regular school,1-Local school district,1-Currently operational,2-No,40.880279,-73.052276,580211000000,580211000000
"HAWKINS ST, NJ",HAWKINS ST,341134000000,NEWARK,3411340,ESSEX COUNTY,34013,8 HAWKINS ST,NEWARK,NJ,7105,3918,9734654920,1-Regular school,1-Local school district,1-Currently operational,2-No,40.730968,-74.14052,460,133570
"HAWLEY ELEMENTARY SCHOOL, CT",HAWLEY ELEMENTARY SCHOOL,90291000613,NEWTOWN SCHOOL DISTRICT,902910,FAIRFIELD COUNTY,9001,29 CHURCH HILL RD,NEWTOWN,CT,6470,1644,2034267666,1-Regular school,1-Local school district,1-Currently operational,2-No,41.414665,-73.301695,1,97
"HAWORTH, NJ",HAWORTH,340696000000,HAWORTH,3406960,BERGEN COUNTY,34003,205 VALLEY RD,HAWORTH,NJ,7641,1218,2013845526,1-Regular school,1-Local school district,1-Currently operational,2-No,40.962912,-73.986027,50,32090
"HAWTHORNE, NJ",HAWTHORNE,341608000000,TEANECK,3416080,BERGEN COUNTY,34003,201 FYCKE LANCE,TEANECK,NJ,7666,6599,2018335540,1-Regular school,1-Local school district,1-Currently operational,2-No,40.877572,-74.001572,110,35150
"HAWTHORNE AVE, NJ",HAWTHORNE AVE,341134000000,NEWARK,3411340,ESSEX COUNTY,34013,428 HAWTHORNE AVE,NEWARK,NJ,7112,1639,9737053960,1-Regular school,1-Local school district,1-Currently operational,2-No,40.718712,-74.212113,470,133570
"HAWTHORNE CEDAR KNOLLS JUNIOR HIGH SCHOOL, NY",HAWTHORNE CEDAR KNOLLS JUNIOR HIGH SCHOOL,361407000000,HAWTHORNE-CEDAR KNOLLS UNION FREE SCHOOL DISTRICT,3614070,WESTCHESTER COUNTY,36119,226 LINDA AVE,HAWTHORNE,NY,10532,2099,9147492964,1-Regular school,1-Local school district,1-Currently operational,2-No,41.102862,-73.786979,660803000000,660803000000
"HAWTHORNE CEDAR KNOLLS SR/JR HIGH SCHOOL, NY",HAWTHORNE CEDAR KNOLLS SR/JR HIGH SCHOOL,361407000000,HAWTHORNE-CEDAR KNOLLS UNION FREE SCHOOL DISTRICT,3614070,WESTCHESTER COUNTY,36119,226 LINDA AVE,HAWTHORNE,NY,10532,2099,9147492939,2-Special education school,1-Local school district,1-Currently operational,2-No,41.102862,-73.786979,660803000000,660803000000
"HAWTHORNE ELEMENTARY SCHOOL, NY",HAWTHORNE ELEMENTARY SCHOOL,362016000000,MOUNT PLEASANT CENTRAL SCHOOL DISTRICT,3620160,WESTCHESTER COUNTY,36119,225 MEMORIAL DR,HAWTHORNE,NY,10532,2120,9147698536,1-Regular school,1-Local school district,1-Currently operational,2-No,41.10203,-73.8001,660801000000,660801000000
"HAWTHORNE HIGH, NJ",HAWTHORNE HIGH,340699000000,HAWTHORNE,3406990,PASSAIC COUNTY,34031,160 PARMELEE AVE,HAWTHORNE,NJ,7506,,9734236415,1-Regular school,1-Local school district,1-Currently operational,2-No,40.953395,-74.159038,50,312100
"HAWTHORNE PARK ELEM SCH, NJ",HAWTHORNE PARK ELEM SCH,341800000000,WILLINGBORO TOWNSHIP,3418000,BURLINGTON COUNTY,34005,84 HAMPSHIRE LN,WILLINGBORO,NJ,8046,1779,6098358960,1-Regular school,1-Local school district,1-Currently operational,2-No,40.036737,-74.872467,65,55805
"HAYESTOWN AVENUE SCHOOL, CT",HAYESTOWN AVENUE SCHOOL,90102000152,DANBURY SCHOOL DISTRICT,901020,FAIRFIELD COUNTY,9001,42 HAYESTOWN AVE,DANBURY,CT,6811,4881,2037974771,1-Regular school,1-Local school district,1-Currently operational,2-No,41.413086,-73.453079,2,34
"HAZARDVILLE MEMORIAL SCHOOL, CT",HAZARDVILLE MEMORIAL SCHOOL,90147000247,ENFIELD SCHOOL DISTRICT,901470,HARTFORD COUNTY,9003,68 NORTH MAPLE ST,ENFIELD,CT,6082,3904,8607637500,1-Regular school,1-Local school district,1-Currently operational,2-No,41.991359,-72.539403,4,49
"HAZEL AVE, NJ",HAZEL AVE,341761000000,WEST ORANGE,3417610,ESSEX COUNTY,34013,45 HAZEL AVE,W ORANGE,NJ,7052,4524,9736695448,1-Regular school,1-Local school district,1-Currently operational,2-No,40.76979,-74.249277,130,135680
"HAZELWOOD, NJ",HAZELWOOD,341005000000,MIDDLESEX BOROUGH,3410050,MIDDLESEX COUNTY,34023,HAZELWOOD AVE,MIDDLESEX,NJ,8846,1299,7323176000,1-Regular school,1-Local school district,1-Currently operational,2-No,40.57561,-74.51522,65,233140
"HAZLET MIDDLE SCHOOL, NJ",HAZLET MIDDLE SCHOOL,341368000000,HAZLET TOWNSHIP,3413680,MONMOUTH COUNTY,34025,1639 UNION AVE,HAZLET,NJ,7730,2497,7322640940,1-Regular school,1-Local school district,1-Currently operational,2-No,40.434384,-74.164042,105,252105
"HEAD O'MEADOW ELEMENTARY SCHOOL, CT",HEAD O'MEADOW ELEMENTARY SCHOOL,90291001121,NEWTOWN SCHOOL DISTRICT,902910,FAIRFIELD COUNTY,9001,94 BOGGS HILL RD,NEWTOWN,CT,6470,1915,2034267670,1-Regular school,1-Local school district,1-Currently operational,2-No,41.382338,-73.313268,4,97
"HEAD START, CT",HEAD START,90264001384,NAUGATUCK SCHOOL DISTRICT,902640,NEW HAVEN COUNTY,9009,100 PROSPECT ST,NAUGATUCK,CT,6770,,2037205246,1-Regular school,1-Local school district,1-Currently operational,2-No,41.501165,-73.042918,81,88
